Date,Open,High,Low,Close,Volume
01/08/2024,"369.30","375.20","369.01","374.69","23,133,971"
01/05/2024,"368.97","372.06","366.50","367.75","21,004,580"
01/04/2024,"370.67","373.10","367.17","367.94","20,901,500"
01/03/2024,"369.01","373.26","368.51","370.60","23,083,471"
01/02/2024,"373.86","375.90","366.77","370.87","25,258,631"
12/29/2023,"376.00","377.16","373.48","376.04","18,730,840"
12/28/2023,"375.37","376.46","374.16","375.28","14,327,010"
12/27/2023,"373.69","375.06","372.81","374.07","14,905,410"
12/26/2023,"375.00","376.94","373.50","374.66","12,673,050"
12/22/2023,"373.68","375.18","372.71","374.58","17,107,480"
12/21/2023,"372.56","374.41","370.04","373.54","17,708,010"
12/20/2023,"375.00","376.03","370.53","370.62","26,316,650"
12/19/2023,"371.49","373.26","369.84","373.26","20,603,660"
12/18/2023,"369.45","373.00","368.68","372.65","21,802,881"
12/15/2023,"366.85","372.40","366.28","370.73","78,502,320"
12/14/2023,"373.31","373.76","364.13","365.93","43,277,461"
12/13/2023,"376.02","377.64","370.77","374.37","30,955,529"
12/12/2023,"370.85","374.42","370.46","374.38","24,838,250"
12/11/2023,"368.48","371.60","366.10","371.30","27,708,760"
12/08/2023,"369.20","374.46","368.23","374.23","20,154,369"
12/07/2023,"368.23","371.45","366.32","370.95","23,118,859"
12/06/2023,"373.54","374.18","368.03","368.80","21,182,070"
12/05/2023,"366.45","373.08","365.62","372.52","23,065,039"
12/04/2023,"369.10","369.52","362.90","369.14","32,063,311"
12/01/2023,"376.76","378.16","371.31","374.51","33,040,469"
11/30/2023,"378.49","380.09","375.47","378.91","30,554,420"
11/29/2023,"383.76","384.30","377.44","378.85","28,963,400"
11/28/2023,"378.35","383.00","378.16","382.70","20,453,109"
11/27/2023,"376.78","380.64","376.20","378.61","22,179,230"
11/24/2023,"377.33","377.97","375.14","377.43","10,176,650"
11/22/2023,"378.00","379.79","374.97","377.85","23,361,180"
11/21/2023,"375.67","376.22","371.12","373.07","28,423,150"
11/20/2023,"371.22","378.87","371.00","377.44","52,528,961"
11/17/2023,"373.61","374.37","367.00","369.85","40,325,367"
11/16/2023,"370.96","376.35","370.18","376.17","27,182,320"
11/15/2023,"371.28","373.13","367.11","369.67","26,860,100"
11/14/2023,"371.01","371.95","367.35","370.27","27,683,859"
11/13/2023,"368.22","368.47","365.90","366.68","19,986,510"
11/10/2023,"361.49","370.10","361.07","369.67","28,065,160"
11/09/2023,"362.30","364.79","360.36","360.69","24,847,330"
11/08/2023,"361.68","363.87","360.55","363.20","26,767,830"
11/07/2023,"359.40","362.46","357.63","360.53","25,833,930"
11/06/2023,"353.45","357.54","353.35","356.53","23,828,301"
11/03/2023,"349.63","354.39","347.33","352.80","23,637,670"
11/02/2023,"347.24","348.83","344.77","348.32","24,348,070"
11/01/2023,"339.79","347.42","339.65","346.07","28,158,820"
10/31/2023,"338.85","339.00","334.69","338.11","20,265,279"
10/30/2023,"333.41","339.45","331.83","337.31","22,828,080"
10/27/2023,"330.43","336.72","328.40","329.81","29,856,520"
10/26/2023,"340.54","341.63","326.94","327.89","37,828,539"
10/25/2023,"345.02","346.20","337.62","340.67","55,053,832"
10/24/2023,"331.30","331.84","327.60","330.53","31,153,570"
10/23/2023,"325.47","332.73","324.39","329.32","24,374,750"
10/20/2023,"331.72","331.92","325.45","326.67","25,027,721"
10/19/2023,"332.15","336.88","330.91","331.32","25,052,070"
10/18/2023,"332.49","335.59","328.30","330.11","23,153,600"
10/17/2023,"329.59","333.46","327.41","332.06","18,338,520"
10/16/2023,"331.05","336.14","330.60","332.64","22,158,051"
10/13/2023,"332.38","333.83","326.36","327.73","21,085,699"
10/12/2023,"330.57","333.63","328.72","331.16","19,313,100"
10/11/2023,"331.21","332.82","329.14","332.42","20,063,250"
10/10/2023,"330.96","331.10","327.67","328.39","20,557,090"
10/09/2023,"324.75","330.30","323.18","329.82","19,891,180"
10/06/2023,"316.55","329.19","316.30","327.26","25,673,631"
10/05/2023,"319.09","319.98","314.90","319.36","16,965,631"
10/04/2023,"314.03","320.04","314.00","318.96","20,720,141"
10/03/2023,"320.83","321.39","311.22","313.39","21,033,490"
10/02/2023,"316.28","321.89","315.18","321.80","20,570,010"
09/29/2023,"317.75","319.47","314.98","315.75","24,147,301"
09/28/2023,"310.99","315.48","309.45","313.64","19,683,561"
09/27/2023,"312.30","314.30","309.69","312.79","19,410,080"
09/26/2023,"315.13","315.88","310.02","312.14","26,297,570"
09/25/2023,"316.59","317.67","315.00","317.54","17,835,961"
09/22/2023,"321.32","321.45","316.15","317.01","21,447,891"
09/21/2023,"319.26","325.35","315.00","319.53","35,560,359"
09/20/2023,"329.51","329.59","320.51","320.77","21,436,529"
09/19/2023,"326.17","329.39","324.51","328.65","16,514,490"
09/18/2023,"327.80","330.40","326.36","329.06","16,834,211"
09/15/2023,"336.92","337.40","329.65","330.22","37,679,793"
09/14/2023,"339.15","340.86","336.57","338.70","20,267,051"
09/13/2023,"331.31","336.85","331.17","336.06","16,544,410"
09/12/2023,"335.82","336.79","331.48","331.77","17,565,480"
09/11/2023,"337.24","338.42","335.43","337.94","16,583,320"
09/08/2023,"330.09","336.16","329.46","334.27","19,548,170"
09/07/2023,"331.29","333.08","329.03","329.91","18,381,000"
09/06/2023,"333.38","334.46","330.18","332.88","17,535,770"
09/05/2023,"329.00","334.85","328.66","333.55","18,553,859"
09/01/2023,"331.31","331.99","326.78","328.66","14,942,020"
08/31/2023,"329.20","330.91","326.78","327.76","26,410,949"
08/30/2023,"328.67","329.81","326.45","328.79","15,222,110"
08/29/2023,"321.88","328.98","321.88","328.41","19,284,590"
08/28/2023,"325.66","326.15","321.72","323.70","14,808,480"
08/25/2023,"321.47","325.36","318.80","322.98","21,684,100"
08/24/2023,"332.85","332.98","319.96","319.97","23,281,430"
08/23/2023,"323.82","329.20","323.46","327.00","21,166,381"
08/22/2023,"325.50","326.08","321.46","322.46","16,102,020"
08/21/2023,"317.93","322.77","317.04","321.88","24,039,961"
08/18/2023,"314.49","318.38","311.55","316.48","24,755,010"
08/17/2023,"320.54","321.87","316.21","316.88","21,257,160"
08/16/2023,"320.80","324.42","319.80","320.40","20,698,859"
08/15/2023,"323.00","325.09","320.90","321.86","16,966,289"
08/14/2023,"321.39","324.06","320.08","324.04","18,836,141"
08/11/2023,"320.26","322.41","319.21","321.01","24,355,490"
08/10/2023,"326.02","328.26","321.18","322.93","20,113,730"
08/09/2023,"326.47","327.11","321.05","322.23","22,373,270"
08/08/2023,"326.96","328.75","323.00","326.05","22,327,570"
08/07/2023,"328.37","331.11","327.52","330.11","17,741,529"
08/04/2023,"331.88","335.14","327.24","327.78","23,741,480"
08/03/2023,"326.00","329.88","325.95","326.66","18,360,350"
08/02/2023,"333.63","333.63","326.36","327.50","27,761,260"
08/01/2023,"335.19","338.54","333.70","336.34","18,381,250"
07/31/2023,"336.92","337.70","333.36","335.92","25,446,020"
07/28/2023,"333.67","340.01","333.17","338.37","28,484,869"
07/27/2023,"340.48","341.33","329.05","330.72","39,635,262"
07/26/2023,"341.44","344.67","333.11","337.77","58,383,699"
07/25/2023,"347.11","351.89","345.07","350.98","41,637,738"
07/24/2023,"345.85","346.92","342.31","345.11","26,719,211"
07/21/2023,"349.15","350.30","339.83","343.77","69,405,375"
07/20/2023,"353.57","357.97","345.37","346.87","33,778,398"
07/19/2023,"361.75","362.46","352.44","355.08","39,732,898"
07/18/2023,"345.83","366.78","342.17","359.49","64,872,711"
07/17/2023,"345.68","346.99","342.20","345.73","20,363,930"
07/14/2023,"347.59","351.43","344.31","345.24","28,352,730"
07/13/2023,"339.56","343.74","339.02","342.66","20,567,160"
07/12/2023,"336.60","341.65","335.67","337.20","29,995,260"
07/11/2023,"331.06","332.86","327.00","332.47","26,698,221"
07/10/2023,"334.60","335.23","327.59","331.83","32,791,449"
07/07/2023,"339.32","341.79","337.00","337.22","21,214,820"
07/06/2023,"337.30","342.99","335.50","341.27","28,195,529"
07/05/2023,"335.09","341.65","334.73","338.15","18,172,381"
07/03/2023,"339.19","340.90","336.57","337.99","12,484,240"
06/30/2023,"337.75","342.73","337.20","340.54","26,832,760"
06/29/2023,"334.71","336.11","332.62","335.05","16,997,039"
06/28/2023,"334.66","337.98","333.81","335.85","20,259,520"
06/27/2023,"331.86","336.15","329.30","334.57","24,354,109"
06/26/2023,"333.72","336.11","328.49","328.60","21,520,580"
06/23/2023,"334.36","337.96","333.45","335.02","23,146,900"
06/22/2023,"334.12","340.12","333.34","339.71","23,556,760"
06/21/2023,"336.37","337.73","332.07","333.56","25,117,801"
06/20/2023,"339.31","342.08","335.86","338.05","26,375,410"
06/16/2023,"351.32","351.47","341.95","342.33","46,551,992"
06/15/2023,"337.48","349.84","337.20","348.10","38,899,078"
06/14/2023,"334.34","339.04","332.81","337.34","26,003,789"
06/13/2023,"334.47","336.98","330.39","334.29","22,951,279"
06/12/2023,"328.58","332.10","325.16","331.85","24,306,750"
06/09/2023,"324.99","329.99","324.41","326.79","22,528,949"
06/08/2023,"323.94","326.64","323.35","325.26","23,277,711"
06/07/2023,"331.65","334.49","322.50","323.38","40,717,129"
06/06/2023,"335.33","335.37","332.17","333.68","20,396,221"
06/05/2023,"335.22","338.56","334.66","335.94","21,307,051"
06/02/2023,"334.25","337.50","332.55","335.40","25,873,770"
06/01/2023,"325.93","333.53","324.72","332.58","26,773,850"
05/31/2023,"332.29","335.94","327.33","328.39","45,950,551"
05/30/2023,"335.23","335.74","330.52","331.21","29,503,070"
05/26/2023,"324.02","333.40","323.88","332.89","36,630,633"
05/25/2023,"323.24","326.90","320.00","325.92","43,301,738"
05/24/2023,"314.73","316.50","312.61","313.85","23,384,891"
05/23/2023,"320.03","322.72","315.25","315.26","30,797,170"
05/22/2023,"318.60","322.59","318.01","321.18","24,115,660"
05/19/2023,"316.74","318.75","316.37","318.34","27,546,699"
05/18/2023,"314.53","319.04","313.72","318.52","27,275,990"
05/17/2023,"312.29","314.43","310.74","314.00","24,315,010"
05/16/2023,"309.83","313.71","309.83","311.74","26,730,350"
05/15/2023,"309.10","309.91","307.59","309.46","16,336,550"
05/12/2023,"310.55","310.65","306.60","308.97","19,774,699"
05/11/2023,"310.10","311.12","306.26","310.11","31,680,180"
05/10/2023,"308.62","313.00","307.67","312.31","30,078,039"
05/09/2023,"308.00","310.04","306.31","307.00","21,340,830"
05/08/2023,"310.13","310.20","306.09","308.65","21,318,609"
05/05/2023,"305.72","311.97","304.27","310.65","28,197,051"
05/04/2023,"306.24","307.76","303.40","305.41","22,519,910"
05/03/2023,"306.62","308.61","304.09","304.40","22,360,750"
05/02/2023,"307.76","309.18","303.91","305.41","26,404,430"
05/01/2023,"306.97","308.60","305.15","305.56","21,294,119"
04/28/2023,"304.01","308.93","303.31","307.26","36,469,609"
